Store,DayOfWeek,Date,Sales,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,WeekOfYear,competition_open,PromoOpen,lag1,lag7,rolling_3,rolling_7,diff1,diff7
1,6,2015-08-01,,1.0,0,0,1,c,a,1270.0,9.0,2008.0,0.0,,,,2015.0,8.0,31.0,83.0,,5263.0,4364.0,5021.666666666667,4363.142857142857,,
1,1,2015-08-17,,1.0,1,0,1,c,a,1270.0,9.0,2008.0,0.0,,,,2015.0,8.0,34.0,83.0,,,0.0,5141.5,4363.0,,
1,3,2015-09-02,,1.0,1,0,1,c,a,1270.0,9.0,2008.0,0.0,,,,2015.0,9.0,36.0,84.0,,,6102.0,5263.0,5235.6,,
3,6,2015-08-01,,1.0,0,0,0,a,a,14130.0,12.0,2006.0,1.0,14.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,104.0,52.25,8314.0,3878.0,8300.333333333334,6535.714285714285,,
3,1,2015-08-17,,1.0,1,0,0,a,a,14130.0,12.0,2006.0,1.0,14.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,104.0,53.0,,0.0,8645.5,6978.666666666667,,
3,3,2015-09-02,,1.0,1,0,0,a,a,14130.0,12.0,2006.0,1.0,14.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,105.0,53.5,,8107.0,8314.0,8374.4,,
7,6,2015-08-01,,1.0,0,0,0,a,c,24000.0,4.0,2013.0,0.0,,,,2015.0,8.0,31.0,28.0,,15344.0,6574.0,12992.666666666666,10394.714285714286,,
7,1,2015-08-17,,1.0,1,0,1,a,c,24000.0,4.0,2013.0,0.0,,,,2015.0,8.0,34.0,28.0,,,0.0,13452.0,11031.5,,
7,3,2015-09-02,,1.0,1,0,0,a,c,24000.0,4.0,2013.0,0.0,,,,2015.0,9.0,36.0,29.0,,,14869.0,15344.0,13237.8,,
8,6,2015-08-01,,1.0,0,0,0,a,a,7520.0,10.0,2014.0,0.0,,,,2015.0,8.0,31.0,10.0,,8492.0,3288.0,7980.333333333333,6097.857142857143,,
8,1,2015-08-17,,1.0,1,0,1,a,a,7520.0,10.0,2014.0,0.0,,,,2015.0,8.0,34.0,10.0,,,0.0,8456.0,6566.166666666667,,
8,3,2015-09-02,,1.0,1,0,0,a,a,7520.0,10.0,2014.0,0.0,,,,2015.0,9.0,36.0,11.0,,,8739.0,8492.0,7879.4,,
9,6,2015-08-01,,1.0,0,0,0,a,c,2030.0,8.0,2000.0,0.0,,,,2015.0,8.0,31.0,180.0,,8565.0,5330.0,7960.0,6944.285714285715,,
9,1,2015-08-17,,1.0,1,0,0,a,c,2030.0,8.0,2000.0,0.0,,,,2015.0,8.0,34.0,180.0,,,0.0,8052.0,7213.333333333333,,
9,3,2015-09-02,,1.0,1,0,0,a,c,2030.0,8.0,2000.0,0.0,,,,2015.0,9.0,36.0,181.0,,,10649.0,8565.0,8656.0,,
10,6,2015-08-01,,1.0,0,0,1,a,a,3160.0,9.0,2009.0,0.0,,,,2015.0,8.0,31.0,71.0,,7185.0,4713.0,6298.333333333333,5280.0,,
10,1,2015-08-17,,1.0,1,0,1,a,a,3160.0,9.0,2009.0,0.0,,,,2015.0,8.0,34.0,71.0,,,0.0,6685.5,5374.5,,
10,3,2015-09-02,,1.0,1,0,1,a,a,3160.0,9.0,2009.0,0.0,,,,2015.0,9.0,36.0,72.0,,,7212.0,7185.0,6449.4,,
11,6,2015-08-01,,1.0,0,0,0,a,c,960.0,11.0,2011.0,1.0,1.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,45.0,43.5,10457.0,4712.0,8732.0,6663.142857142857,,
11,1,2015-08-17,,1.0,1,0,1,a,c,960.0,11.0,2011.0,1.0,1.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,45.0,44.25,,0.0,8909.0,6988.333333333333,,
11,3,2015-09-02,,1.0,1,0,0,a,c,960.0,11.0,2011.0,1.0,1.0,2012.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,46.0,44.75,,8796.0,10457.0,8386.0,,
12,6,2015-08-01,,1.0,0,0,0,a,c,1070.0,,,1.0,13.0,2010.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,,64.5,8959.0,5185.0,8730.333333333334,7203.571428571428,,
12,1,2015-08-17,,1.0,1,0,1,a,c,1070.0,,,1.0,13.0,2010.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,,65.25,,0.0,8477.5,7540.0,,
12,3,2015-09-02,,1.0,1,0,0,a,c,1070.0,,,1.0,13.0,2010.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,,65.75,,10227.0,8959.0,9048.0,,
13,6,2015-08-01,,1.0,0,0,0,d,a,310.0,,,1.0,45.0,2009.0,"Feb,May,Aug,Nov",2015.0,8.0,31.0,,68.5,8821.0,4361.0,7705.666666666667,6031.857142857143,,
13,1,2015-08-17,,1.0,1,0,1,d,a,310.0,,,1.0,45.0,2009.0,"Feb,May,Aug,Nov",2015.0,8.0,34.0,,69.25,,0.0,8234.5,6310.333333333333,,
13,3,2015-09-02,,1.0,1,0,1,d,a,310.0,,,1.0,45.0,2009.0,"Feb,May,Aug,Nov",2015.0,9.0,36.0,,69.75,,7926.0,8821.0,7572.4,,
14,6,2015-08-01,,1.0,0,0,0,a,a,1300.0,3.0,2014.0,1.0,40.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,17.0,45.75,6544.0,2952.0,5876.0,4735.857142857143,,
14,1,2015-08-17,,1.0,1,0,0,a,a,1300.0,3.0,2014.0,1.0,40.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,17.0,46.5,,0.0,6108.0,5033.166666666667,,
14,3,2015-09-02,,1.0,1,0,0,a,a,1300.0,3.0,2014.0,1.0,40.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,18.0,47.0,,6614.0,6544.0,6039.8,,
15,6,2015-08-01,,1.0,0,0,0,d,c,4110.0,3.0,2010.0,1.0,14.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,31.0,65.0,52.25,9191.0,5209.0,8555.0,6777.571428571428,,
15,1,2015-08-17,,1.0,1,0,1,d,c,4110.0,3.0,2010.0,1.0,14.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,8.0,34.0,65.0,53.0,,0.0,9041.0,7039.0,,
15,3,2015-09-02,,1.0,1,0,0,d,c,4110.0,3.0,2010.0,1.0,14.0,2011.0,"Jan,Apr,Jul,Oct",2015.0,9.0,36.0,66.0,53.5,,9053.0,9191.0,8446.8,,
16,6,2015-08-01,,1.0,0,0,0,a,c,3270.0,,,0.0,,,,2015.0,8.0,31.0,,,10231.0,6105.0,9976.0,7998.285714285715,,
16,1,2015-08-17,,1.0,1,0,1,a,c,3270.0,,,0.0,,,,2015.0,8.0,34.0,,,,0.0,10228.5,8313.833333333334,,
16,3,2015-09-02,,1.0,1,0,1,a,c,3270.0,,,0.0,,,,2015.0,9.0,36.0,,,,10260.0,10231.0,9976.6,,
19,6,2015-08-01,,1.0,0,0,0,a,c,3240.0,,,1.0,22.0,2011.0,"Mar,Jun,Sept,Dec",2015.0,8.0,31.0,,50.25,8234.0,3562.0,7938.666666666667,6274.285714285715,,
19,1,2015-08-17,,1.0,1,0,0,a,c,3240.0,,,1.0,22.0,2011.0,"Mar,Jun,Sept,Dec",2015.0,8.0,34.0,,51.0,,0.0,8317.0,6726.333333333333,,
